Country,Australia,Bosnia and Herzegovina,Brazil,Bulgaria,Canada,China,Finland,France,Gambia,Germany,Ghana,Ireland,Israel,Italy,"Korea, South",Morocco,Netherlands,Nigeria,Peru,Poland,Prefer not to say,Romania,Russia,Singapore,Spain,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,0.0,0.0,0.0,9.090909090909092,27.27272727272727
Poland,0.0,0.0,15.384615384615385,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0
Romania,5.208333333333334,4.166666666666666,1.0416666666666665,0.0,0.0,0.0,3.125,0.0,0.0,4.166666666666666,0.0,1.0416666666666665,1.0416666666666665,0.0,0.0,1.0416666666666665,0.0,8.333333333333332,0.0,0.0,5.208333333333334,5.208333333333334,3.125,0.0,0.0,0.0,0.0,3.125,3.125,4.166666666666666,0.0,7.291666666666667,39.58333333333333
Russia,5.592105263157895,0.6578947368421052,2.9605263157894735,0.6578947368421052,0.6578947368421052,0.0,1.644736842105263,0.3289473684210526,0.6578947368421052,5.263157894736842,0.0,0.9868421052631579,3.618421052631579,1.3157894736842104,0.3289473684210526,1.644736842105263,0.9868421052631579,3.618421052631579,0.6578947368421052,2.9605263157894735,4.276315789473684,0.0,2.631578947368421,0.9868421052631579,1.3157894736842104,0.6578947368421052,3.9473684210526314,1.9736842105263157,1.3157894736842104,2.9605263157894735,1.3157894736842104,12.171052631578947,31.907894736842106
Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
