Country,Australia,Austria,Benin,Bosnia and Herzegovina,Brazil,Bulgaria,Canada,Finland,Gambia,Germany,Ireland,Israel,Italy,Kenya,"Korea, South",Netherlands,Nigeria,Peru,Poland,Prefer not to say,Romania,Russia,Swaziland,Sweden,Trinidad and Tobago,Ukraine,United Kingdom,United States
Switzerland,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Thailand,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,14.285714285714285
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Turkey,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,20.0
Uganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ukraine,8.91089108910891,0.0,0.0,1.4851485148514851,4.455445544554455,0.9900990099009901,0.9900990099009901,0.49504950495049505,0.0,1.9801980198019802,0.49504950495049505,4.455445544554455,1.9801980198019802,2.4752475247524752,0.0,3.4653465346534658,0.9900990099009901,0.0,3.9603960396039604,1.4851485148514851,1.4851485148514851,4.9504950495049505,0.0,0.9900990099009901,0.0,6.435643564356436,16.831683168316832,30.693069306930692
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0
United Kingdom,3.508771929824561,0.0,5.263157894736842,5.263157894736842,3.508771929824561,0.0,0.0,1.7543859649122806,3.508771929824561,0.0,1.7543859649122806,5.263157894736842,0.0,0.0,0.0,1.7543859649122806,3.508771929824561,0.0,1.7543859649122806,5.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,43.859649122807014,14.035087719298245
United States,4.545454545454546,0.6493506493506493,1.2987012987012987,1.2987012987012987,3.2467532467532463,0.0,2.5974025974025974,2.5974025974025974,1.948051948051948,0.0,1.948051948051948,8.441558441558442,0.0,2.5974025974025974,1.2987012987012987,1.2987012987012987,5.844155844155844,1.2987012987012987,2.5974025974025974,8.441558441558442,0.0,0.0,0.0,0.6493506493506493,0.0,0.0,23.376623376623375,24.025974025974026
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666
Vietnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,41.66666666666667
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
